"code";"name";"password";"group.code";"blocked";"stepStatusSelect"
"azamat";"Азамат Шоруков";"123";"GG";"false";"5"
"tilek";"Тилек Асанов";"123";"GG";"false";"5"
"tattu";"Татту Жанакунова";"123";"GG";"false";"5"
"bermeta";"Бермета Элебесова";"123";"GG";"false";"5"
"akylai";"Акылай Русланбек кызы";"123";"GG";"false";"5"
"elnar";"Элнар Абдыров";"123";"GG";"false";"5"
"talantbek";"Талантбек Исенбаев";"123";"GG";"false";"5"
"nurhan";"Nurkhan Suiumkulov";"123";"GG";"false";"5"
"kairatA";"Кайрат Алишев";"123";"GG";"false";"5"
"altyn";"Алтын Алмазбекова";"123";"GG";"false";"5"
"erlan";"Эрлан Джаманкулов";"123";"GG";"false";"5"
"ilimjan";"Илим Кушбеков";"123";"GG";"false";"5"
"daniel";"Даниэль Азамат";"123";"GG";"false";"5"
"sanjar";"Sanzhar Taalaibek uulu";"123";"GG";"false";"5"
"t";"Тариэл Сапар уулу";"123";"GG";"false";"5"
"akjol";"Акжол Абдыкадыров";"123";"GG";"false";"5"
"jyrgalbekB";"Жыргалбек Шаршенов";"123";"GG";"false";"5"
"aibek";"Айбек Ренадов";"123";"GG";"false";"5"
"atai";"Атай Адамалиев";"123";"GG";"false";"5"
"aidin";"Айдин";"123";"GG";"false";"5"
"nurseit";"Нурсеит Бакытбеков";"123";"GG";"false";"5"
"ulanbek";"Уланбек Курбанбек уулу";"123";"GG";"false";"5"
"jyrgalbekF";"Жыргалбек Камалов";"123";"GG";"false";"5"
"dastan";"Дастан Урманбетов";"123";"GG";"false";"5"
"nurmat";"Нурмат Абдрахманов";"123";"GG";"false";"5"
"alymbek";"Алымбек Алишер уулу";"123";"GG";"false";"5"
"kairatT";"Кайрат Тобокелов";"123";"GG";"false";"5"
"beknazar";"Бекназар Бекмурзаев";"123";"GG";"false";"5"
"beka";"beka urmatbekov";"123";"GG";"false";"5"
"shumkar";"Шумкар Барпыев";"123";"GG";"false";"5"
"ilim";"Ilimjan Baryktabasov";"123";"GG";"false";"5"
"beren";"Берен Санжарбеков";"123";"GG";"false";"5"
"aidar";"Айдар Дюшембиев";"123";"GG";"false";"5"
"kubanichbek";"Алтынбек уулу Кубанычбек";"123";"GG";"false";"5"
